timestamp,machine_id,temperature_c,vibration_mm_s,pressure_psi,rotational_speed_rpm,load_weight_tonnes,ambient_temp_c,humidity_percent,machine_type,model,age_years,manufacturer
1/1/2024,D2001,115.619106,0.834639277,2150.097758,1873.290742,310.880312,39.8648002,74.37131335,Dozer,Komatsu D475A,11,Belaz
1/2/2024,D2001,126.0793911,1.220484442,2309.090874,2018.951021,232.0271946,32.01139158,79.18553466,Dozer,Komatsu D475A,11,Belaz
1/3/2024,D2001,115.1412198,0.929692477,2348.455864,1760.19556,252.9256351,41.02304479,87.42403194,Dozer,Komatsu D475A,11,Belaz
1/4/2024,D2001,139.6567048,1.935460274,2651.705955,1503.230978,193.1433966,37.4531295,77.53365178,Dozer,Komatsu D475A,11,Belaz
1/5/2024,D2001,142.9191266,2.453915502,2761.604746,1586.911666,128.8755341,21.46027313,102.4483419,Dozer,Komatsu D475A,11,Belaz
1/6/2024,D2001,159.358716,3.347104893,2958.216794,1223.20837,253.8166518,33.54220018,82.22465566,Dozer,Komatsu D475A,11,Belaz
1/7/2024,D2001,169.5929583,3.727414509,3251.398457,1296.95344,201.377378,25.85849042,54.40651232,Dozer,Komatsu D475A,11,Belaz
1/8/2024,D2001,185.7951626,4.715465725,3136.98342,914.0206393,236.8592444,49.14785902,70.42727033,Dozer,Komatsu D475A,11,Belaz
1/9/2024,D2001,189.785315,5.548471164,3637.803497,1192.344235,375.4341826,39.9415965,107.2367202,Dozer,Komatsu D475A,11,Belaz
1/10/2024,D2001,208.1228213,6.334670421,3808.886054,1004.535014,240.6277588,37.0216498,102.126263,Dozer,Komatsu D475A,11,Belaz
1/11/2024,D2001,202.5792124,6.784685254,3593.75284,715.3135431,297.1950775,42.06443759,102.5049742,Dozer,Komatsu D475A,11,Belaz
1/12/2024,D2001,217.718165,7.776479791,4309.67995,626.3638397,138.2457969,34.72577055,71.30304135,Dozer,Komatsu D475A,11,Belaz
1/13/2024,D2001,225.0858414,8.566208093,4582.118896,893.1025657,202.6476885,30.68933766,94.08971526,Dozer,Komatsu D475A,11,Belaz
1/14/2024,D2001,239.0617718,9.13109949,4236.760732,330.745382,237.563291,46.40805505,71.53875718,Dozer,Komatsu D475A,11,Belaz
1/15/2024,D2001,256.2314472,10.02920343,4556.999584,386.4558751,250.889363,48.30975099,108.597713,Dozer,Komatsu D475A,11,Belaz
1/16/2024,D2001,257.1631086,10.72244612,5053.307691,76.47455888,242.0681559,54.3917393,81.70014296,Dozer,Komatsu D475A,11,Belaz
1/17/2024,D2001,271.6679404,11.48500499,4822.122092,140.2127804,340.0592947,39.32813947,88.39245414,Dozer,Komatsu D475A,11,Belaz
1/18/2024,D2001,116.5128928,1.158948815,2171.804166,1838.20103,272.2005899,30.65070934,106.0149639,Dozer,Komatsu D475A,11,Belaz
1/19/2024,D2001,124.5796216,0.797349007,2518.893013,1791.725778,190.2495737,51.73286415,69.1624065,Dozer,Komatsu D475A,11,Belaz
1/20/2024,D2001,122.7412568,1.016190069,2569.836592,1786.741196,213.775406,24.17646242,80.19402643,Dozer,Komatsu D475A,11,Belaz
1/21/2024,D2001,120.5423014,1.022907844,2327.947336,2068.046114,132.200695,50.6237426,89.30274313,Dozer,Komatsu D475A,11,Belaz
1/22/2024,D2001,127.1052122,1.09670653,2210.77451,1598.8306,286.1915309,37.2478039,98.59875674,Dozer,Komatsu D475A,11,Belaz
1/23/2024,D2001,121.1694952,0.982774637,2552.57866,2068.042713,193.121661,43.78560503,74.01602111,Dozer,Komatsu D475A,11,Belaz
1/24/2024,D2001,126.3711209,0.854447353,2573.273156,2037.001929,131.89011,44.37152231,84.50023451,Dozer,Komatsu D475A,11,Belaz
1/25/2024,D2001,125.2869793,1.225543243,2272.73185,1968.648456,166.2244138,20.52719927,110.4356382,Dozer,Komatsu D475A,11,Belaz
1/26/2024,D2001,123.1307868,1.179158975,2113.358515,1690.526968,457.9623035,35.61156829,79.7238763,Dozer,Komatsu D475A,11,Belaz
1/27/2024,D2001,118.0711903,1.165475796,2501.798144,1906.274287,308.3006452,36.05704628,86.92151134,Dozer,Komatsu D475A,11,Belaz
1/28/2024,D2001,137.414489,1.100036565,2241.937203,2037.271514,268.8632079,33.36481462,86.45850962,Dozer,Komatsu D475A,11,Belaz
