Machine_ID,Timestamp,Age_Days,Temperature_C,Humidity_pct,Vibration_mm_s,Pressure_psi,Maintenance_Events,Days_Since_Maintenance,Failure_in_14_Days,Failed_Component
1,2023-01-01,0,76.02398968116795,51.18724619871961,0.6029340160152168,100.92810271232761,0,-76,0,None
1,2023-01-02,1,84.09764206191225,42.669126004035036,0.4044505242759154,96.50303369249436,0,-75,0,None
1,2023-01-03,2,74.53584965167522,39.99394184841435,0.5621466775509417,100.6693295633623,0,-74,0,None
1,2023-01-04,3,83.41059748907294,44.58437007506452,0.5627394724334014,103.97012207209326,0,-73,0,None
1,2023-01-05,4,79.60637923817973,30.993776681914113,0.39869610380440346,99.08054811197627,0,-72,0,None
1,2023-01-06,5,79.55177035060188,44.84019187185993,0.45070282331512135,100.41720126747214,0,-71,0,None
1,2023-01-07,6,76.92384201927737,44.995804859065025,0.6207826391975254,100.44019667016619,0,-70,0,None
1,2023-01-08,7,81.6833237266359,29.453836852601498,0.35914818532040427,100.33777770698131,0,-69,0,None
1,2023-01-09,8,87.38676961202286,38.87632072779613,0.6714262968282587,98.70900471845935,0,-68,0,None
1,2023-01-10,9,92.39047812807267,33.64086502567956,0.6459688722096936,100.7364067358108,0,-67,0,None
1,2023-01-11,10,75.78098242858164,41.0685367619198,0.4796748258549808,99.44520606552679,0,-66,0,None
1,2023-01-12,11,79.93442185454583,21.67004494424493,0.5961410721199645,98.57117290259819,0,-65,0,None
1,2023-01-13,12,83.63515620947285,58.94538000017025,0.6723267645141444,97.63861818707748,0,-64,0,None
1,2023-01-14,13,81.419059194295,38.504203086224884,0.5163903843966091,105.82972770057837,0,-63,0,None
1,2023-01-15,14,76.81041045139258,38.774406805461865,0.6020887827492307,100.36997964160588,0,-62,0,None
1,2023-01-16,15,80.61978739588939,25.751327310846953,0.7510994776877221,98.72626223900822,0,-61,0,None
1,2023-01-17,16,68.85312256332767,42.88047229935138,0.7682021369379213,100.8669990773264,0,-60,0,None
1,2023-01-18,17,75.08234332254077,17.001675924196377,0.6753626895159122,101.50642094082185,0,-59,0,None
1,2023-01-19,18,88.13314738216717,36.38457655147992,0.5572525528260154,100.41856247811101,0,-58,0,None
1,2023-01-20,19,84.88043858859156,31.635724629635874,0.59927665547207,100.83165202894322,0,-57,0,None
1,2023-01-21,20,73.10692716098643,29.45487054393281,0.6630743887640052,103.76874770568385,0,-56,0,None
1,2023-01-22,21,81.6844243392667,22.370903102168356,0.6855813795292572,99.73551957867143,0,-55,0,None
1,2023-01-23,22,81.09716934455652,32.5990331134037,0.6299129427900508,100.5032070306317,0,-54,0,None
1,2023-01-24,23,83.59530931497613,42.716028185172256,0.5988941147230402,99.7526902553255,0,-53,0,None
1,2023-01-25,24,73.60882001777416,43.35399418838553,0.5023995600519625,103.32598527756632,0,-52,0,None
1,2023-01-26,25,84.38816137697373,48.05279780543689,0.6695211620211485,97.80694543616077,0,-51,0,None
1,2023-01-27,26,78.92981709411048,41.58891191323017,0.6070252419907154,100.81801067132048,0,-50,0,None
1,2023-01-28,27,86.76305048762866,38.618870032937814,0.5111991033485006,98.076852775047,0,-49,0,None
