timestamp,machine_id,temperature_c,vibration_mm_s,pressure_psi,rotational_speed_rpm,load_weight_tonnes,ambient_temp_c,humidity_percent,failure_in_14_days,failed_component,machine_type,model,age_years,manufacturer
2024-01-01 00:00:00.000000000,M001,65.69004404165652,2.9494909344600693,965.1810730037847,1491.0156452086826,50.12657603683809,22.920388479685773,51.73891318219724,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-02 12:50:54.545454592,M001,74.7351887516184,2.674447188910144,1039.1692393094327,1541.825261372742,40.507367436214764,19.028354867390433,59.15748648591555,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-04 01:41:49.090909184,M001,76.31400208438669,3.0653874629094315,969.22294079655,1424.1115249259449,41.60504285345574,25.548041766339832,61.183465098214,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-05 14:32:43.636363520,M001,76.04625038731561,1.8485143426729278,934.5474218797557,1629.0451800307287,53.444669413560945,31.051186769607675,61.5557664653824,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-07 03:23:38.181818112,M001,73.61764701390447,3.001637005880984,1044.8038290430334,1514.8427281938355,46.61224697648007,25.080077487182923,66.43924603446611,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-08 16:14:32.727272704,M001,73.891248263988,2.4130080496584307,961.9280800216886,1447.7491528059443,48.27122816155199,20.80865023085967,52.58041624775797,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-10 05:05:27.272727296,M001,68.5894876798814,2.996688857465945,986.0845753552179,1412.0642975702604,49.86971947647555,20.46162140095681,42.571827595095,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-11 17:56:21.818181888,M001,74.99207915873612,2.673652070814832,953.182000594946,1461.9054441563562,42.35661469375027,27.16753077090831,58.619662839130335,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-13 06:47:16.363636480,M001,83.6878252372786,2.7407344514564955,968.9317206274839,1462.1042876159431,24.797311155674397,19.869296338942362,58.071678789046395,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-14 19:38:10.909090816,M001,82.94849264505619,2.19289688153649,952.9468668869015,1437.142580781274,54.95250371155411,31.213820541937043,68.00012417684752,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-16 08:29:05.454545408,M001,73.32834894317219,2.7086872086592257,1041.3603102212178,1471.5458896908633,47.49241553171579,24.843970031736575,40.12849680574827,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-17 21:20:00.000000000,M001,71.07061468947734,2.7666846852775664,969.5910380638163,1476.2676851462957,77.29905097886457,32.47667113846424,49.69241508419684,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-19 10:10:54.545454592,M001,76.14046318902908,1.5581940442042639,1002.4356133306316,1874.8295233747895,45.97257274824598,35.91265946846819,66.65979576958892,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-20 23:01:49.090909184,M001,57.30217745940156,2.7674782101465882,1061.7709203099344,1473.8447984679979,52.79947789712094,27.17052178660831,47.42332095337929,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-22 11:52:43.636363520,M001,72.66447688829899,2.7168998479501703,1044.9110928472257,1643.8594950347301,58.08128823839377,35.81940884837109,62.071742113002884,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-24 00:43:38.181818112,M001,75.17115603968921,3.1536381814556775,945.3786202688897,1432.8990721014168,54.647373512583805,28.53229709354186,51.059490568402076,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-25 13:34:32.727272704,M001,74.85629004962105,2.4142698727344425,1106.8243025515774,1428.825087206619,52.80399955340032,30.633196831331663,67.55600963309537,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-27 02:25:27.272727296,M001,63.96591030447493,2.801959514539467,867.6833041864942,1619.7613957440399,34.79142261351755,29.23816089900181,51.05956907511972,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
2024-01-28 15:16:21.818181888,M001,69.4615368498885,2.7195278672790844,947.9238626894908,1596.5430678378434,58.03193506155082,19.144187630631308,61.32941152144428,0,None,Haul Truck,Haul Truck-A-331,8,"Williams, Stuart and Stevens"
